 [Complex:9626386] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9646568] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9651845] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9657248] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9662361] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9666899] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9676158] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9691474] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9696721] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9702423] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9708940] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9718615] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9727167] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9732163] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9738827] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9744702] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9749852] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9755585] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9761014] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9765849] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9771093] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9776297] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9783465] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9788030] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9794292] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9799973] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9808277] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9813181] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9817995] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9824234] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9829119] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9836208] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9840956] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9846286] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9857005] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9871017] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9877134] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9882524] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9887849] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9892809] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9900679] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9905765] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9915456] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9920575] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9926533] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9935980] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9940961] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9946602] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9958217] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9971380] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9978297] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9986909] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9995030] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:9999638] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10004803] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10010032] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10015025] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10020144] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10025368] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10030562] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10035801] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10041289] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10047015] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10059384] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10064518] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10069797] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10074145] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10077495] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10085764] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10092302] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [Complex:10096132] GPA3-VPS9a complex [trans-Golgi network membrane, cytosol]
 [EntityWithAccessionedSequence:1126269] Methylmalonate-semialdehyde dehydrogenase  [mitochondrial matrix]
