Species	Stable ID Abbv	2-Digit Abbv	4-Digit Abbv	Gspecies Abbv	Homology Method	Recip. % identity	Primary External Ref Outgoing Link	Sequence data source	Clade	NCBI	Familiar name or description
Oryza sativa	OSA	Os	osat	osativa	Reference	N/A	UniProt	Ensembl Gramene	R	4530	rice
Chara braunii	CBA	Cb	cbra	cbraunii	Compara	28	Ensembl Gramene	Ensembl Gramene	c	69332	Braun's stonewort
Citrus clementina	CCL	Ccl	ccle	cclementina	Compara	30	Ensembl Gramene	Ensembl Gramene	d	85681	clementine
Ipomoea triloba	ITR	It	itri	itriloba	Compara	30	Ensembl Gramene	Ensembl Gramene	d	35885	morning glory
Olea europaea sylvestris	OEU	Oe	oeur	oeuropaea	Compara	30	Ensembl Gramene	Ensembl Gramene	d	158386	wild olive tree
Pistacia vera	PVE	Pve	pver	pvera	Compara	30	Ensembl Gramene	Ensembl Gramene	d	55513	pistachio
Prunus avium	PAV	Pav	pavi	pavium	Compara	30	Ensembl Gramene	Ensembl Gramene	d	42229	sweet cherry
Prunus dulcis	PDU	Pdu	pdul	pdulcis	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3755	almond
Ananas comosus	ACO	Aco	acom	acomosus	Compara	40	Ensembl Gramene	Ensembl Gramene	m	4615	pineapple
Eragrostis curvula	ECU	Ec	ecur	ecurvula	Compara	40	Ensembl Gramene	Ensembl Gramene	m	38414	weeping lovegrass
Saccharum spontaneum	SSP	Ss	sspo	sspontaneum	Compara	40	Ensembl Gramene	Ensembl Gramene	m	62335	fodder cane
Physcomitrella patens	PPA	Ppa	ppat	ppatens	Compara	28	Ensembl Gramene	Ensembl Gramene	b	3218	spreading earthmoss
Chlamydomonas reinhardtii	CRE	Cr	crei	creinhardtii	Compara	28	Ensembl Gramene	Ensembl Gramene	c	3055	a green algae
Ostreococcus lucimarinus	OLU	Olu	oluc	olucimarinus	Compara	28	Ensembl Gramene	Ensembl Gramene	c	242159	a green algae
Selaginella moellendorffii	SMO	Sm	smoe	smoellendorffii	Compara	28	Ensembl Gramene	Ensembl Gramene	l	88036	a lycophyte
Chondrus crispus	CCR	Ccr	ccri	ccrispus	Compara	28	Ensembl Gramene	Ensembl Gramene	r	2769	carrageen moss
Cyanidioschyzon merolae	CME	Cm	cmer	cmerolae	Compara	28	Ensembl Gramene	Ensembl Gramene	r	45157	a red algae
Galdieria sulphuraria	GSU	Gs	gsul	gsulphuraria	Compara	28	Ensembl Gramene	Ensembl Gramene	r	130081	a red algae
Marchantia polymorpha	MPO	Mp	mpol	mpolymorpha	Compara	28	Ensembl Gramene	Ensembl Gramene	r	3197	liverwort
Amborella trichopoda	ATR	Atr	atri	atrichopoda	Compara	30	Ensembl Gramene	Ensembl Gramene	a	13333	amborella
Actinidia chinensis	ACH	Ac	achi	achinensis	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3625	kiwifruit
Arabidopsis halleri	AHA	Ah	ahal	ahalleri	Compara	30	Ensembl Gramene	Ensembl Gramene	d	81970	relative to A. thaliana
Arabidopsis lyrata	ALY	Al	alyr	alyrata	Compara	30	Ensembl Gramene	Ensembl Gramene	d	59689	relative to A. thaliana
