Species	Stable ID Abbv	2-Digit Abbv	4-Digit Abbv	Gspecies Abbv	Homology Method	Recip. % identity	Primary External Ref Outgoing Link	Sequence data source	Clade	NCBI	Familiar name
Actinidia chinensis	ACH	Ac	achi	achinensis	Compara	30	Ensembl Gramene	Ensembl Gramene	d		Kiwifruit
Aegilops tauschii	ATA	Ata	atau	athaliana	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Amborella trichopoda	ATR	Atr	atri	atrichopoda	Compara	30	Ensembl Gramene	Ensembl Gramene	a		
Arabidopsis halleri	AHA	Ah	ahal	ahalleri	Compara	30	Ensembl Gramene	Ensembl Gramene	d	81970	
Arabidopsis lyrata	ALY	Al	alyr	alyrata	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Arabidopsis thaliana	ATH	At	atha	atauschii	Compara	30	TAIR	Ensembl Gramene	d		
Beta vulgaris	BVU	Bv	bvul	bvulgaris	Compara	30	Ensembl Gramene	Ensembl Gramene	d	161934	
Brachypodium distachyon	BDI	Bd	bdis	bdistachyon	Compara	40	Ensembl Gramene	Ensembl Gramene	m	15368	
Brassica napus	BNA	Bn	bnap	bnapus	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Brassica oleracea	BOL	Bo	bole	boleracea	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Brassica rapa	BRA	Br	brap	brapa	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Capsicum annuum	CAN	Can	cann	cannuum	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Chlamydomonas reinhardtii	CRE	Cr	crei	creinhardtii	Compara	28	Ensembl Gramene	Ensembl Gramene	c		
Chondrus crispus	CCR	Ccr	ccri	ccrispus	Compara	28	Ensembl Gramene	Ensembl Gramene	r	2769	carrageen moss
Coffea canephora	CCN	Cca	ccan	ccanephora	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Corchorus capsularis	CCP	Ccp	ccap	ccapsularis	Compara	30	Ensembl Gramene	Ensembl Gramene	d	210143	white jute
Cucumis sativus	CSA	Csa	csat	csativus	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3659	cucumber
Cyanidioschyzon merolae	CME	Cm	cmer	cmerolae	Compara	28	Ensembl Gramene	Ensembl Gramene	r		
Cynara cardunculus var. scolymus	CCD	Ccar			Compara	30	Ensembl Gramene	Ensembl Gramene	d	59895	artichoke
Daucus carota	DCA	Dc	dcar	dcarota	Compara	30	Ensembl Gramene	Ensembl Gramene	d	4039	wild carrot
Dioscorea rotundata	DRO	Dr	drot	drotundata	Compara	40	Ensembl Gramene	Ensembl Gramene	m	55577	white guinea yam
Eragrostis tef	ETE	Et			Compara	40	Ensembl Gramene	Ensembl Gramene	m	110835	teff
Galdieria sulphuraria	GSU	Gs	gsul	gsulphuraria	Compara	28	Ensembl Gramene	Ensembl Gramene	r	130081	a red algae
Glycine max	GMA	Gm	gmax	gmax	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Gossypium raimondii	GRA	Gr	grai	graimondii	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Helianthus annuus	HAN	Ha	hann	hannuus	Compara	30	Ensembl Gramene	Ensembl Gramene	d	4232	common sunflower
Hordeum vulgare	HVU	Hv	hvul	hvulgare	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Leersia perrieri	LPE	Lp	lper	lperrieri	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Lupinus angustifolius	LAN	La	lang	langustifolius	Compara	30	Ensembl Gramene	Ensembl Gramene	d	3871	narrow-leaved blue lupine
Manihot esculenta	MES	Me	mesc	mesculenta	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Marchantia polymorpha	MPO	Mp			Compara	28	Ensembl Gramene	Ensembl Gramene	r	3197	liverwort
Medicago truncatula	MTR	Mt	mtru	mtruncatula	Compara	30	Ensembl Gramene	Ensembl Gramene	d		
Musa acuminata	MAC	Ma	macu	macuminata	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Nicotiana attenuata	NAT	Na	natt	nattenuata	Compara	30	Ensembl Gramene	Ensembl Gramene	d	49451	tobacco
Oryza barthii	OBA	Oba	obar	obarthii	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza brachyantha	OBR	Obr	obra	obrachyantha	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza glaberrima	OGL	Ogla	ogla	oglaberrima	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza glumaepatula	OGU	Oglu	oglu	oglumaepatula	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza longistaminata	OLO	Ol	olon	olongistaminata	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza meridionalis	OME	Ome	omer	omeridionalis	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza nivara	ONI	On	oniv	onivara	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
Oryza punctata	OPU	Op	opun	opunctata	Compara	40	Ensembl Gramene	Ensembl Gramene	m		
