Instance existence checking:
Instance with DB_ID "1385639" is used but not in table DatabaseObject!
Instance with DB_ID "1400788" is used but not in table DatabaseObject!
Instance with DB_ID "1400785" is used but not in table DatabaseObject!
Instance with DB_ID "1400784" is used but not in table DatabaseObject!
Instance with DB_ID "1400787" is used but not in table DatabaseObject!

UNLISTED	event	species

ATTRIBUTE_REMOVED	attClass	attDbId	attName	attribute	class	dbId	name
ATTRIBUTE_REMOVED	Reaction	6787279	salicylate [plastid stroma]->salicylate [cytosol]	hasEvent	Pathway	1119261	Salicylate biosynthesis
ATTRIBUTE_REMOVED	Reaction	1120522	Phosphoglycolate phosphatase	hasEvent	Pathway	1119312	Photorespiration
ATTRIBUTE_REMOVED	Reaction	1120498	glycolate+O2->glyoxylate+H2O2	hasEvent	Pathway	1119312	Photorespiration
ATTRIBUTE_REMOVED	Reaction	1121407	Glycine aminotransferase	hasEvent	Pathway	1119312	Photorespiration
ATTRIBUTE_REMOVED	Reaction	1121501	L-serine+alpha-ketoglutarate->L-glutamate+hydroxypyruvate	hasEvent	Pathway	1119312	Photorespiration
ATTRIBUTE_REMOVED	Reaction	1121568	Glycerate dehydrogenase	hasEvent	Pathway	1119312	Photorespiration
ATTRIBUTE_REMOVED	Reaction	1120801	glycine+tetrahydrofolate+NAD+->ammonia+5,10-methylene-THF+CO2+NADH	hasEvent	Pathway	1119312	Photorespiration
ATTRIBUTE_REMOVED	Reaction	1121022	4-coumarate--CoA ligase	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1120504	4-coumaroylshikimate+NADPH+O2->caffeoylshikimate+NADP++H2O	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1119735	caffeoylshikimate+coenzyme A->caffeoyl-CoA+shikimate	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1120226	4-coumaroylquinate+NADPH+O2->caffeoylquinate+NADP++H2O	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1120091	caffeoylquinate+coenzyme A->caffeoyl-CoA+quinate	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1121060	4-coumaroyl-CoA+shikimate+coumaroyl-CoA->4-coumaroylshikimate+coenzyme A	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1120772	4-coumaroyl-CoA+quinate+coumaroyl-CoA->4-coumaroylquinate+coenzyme A	hasEvent	Pathway	1119316	Phenylpropanoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1121022	4-coumarate--CoA ligase	hasEvent	Pathway	1119531	Flavonoid biosynthesis
ATTRIBUTE_REMOVED	Reaction	1121022	4-coumarate--CoA ligase	precedingEvent	Reaction	1119714	4-coumaroyl-CoA+coumaroyl-CoA+malonyl-CoA+NADPH->isoliquiritigenin+coenzyme A+CO2+NADP++H2O
ATTRIBUTE_REMOVED	Reaction	1119988	nicotinate riboside+ATP->nicotinate nucleotide+ADP	precedingEvent	Reaction	1119766	Nicotinate-nucleotide adenylyltransferase
